delhi_solarpv,delhi_onshorewind,maharashtra_solarpv,maharashtra_onshorewind,rajasthan_solarpv,rajasthan_onshorewind
0,0.038,0,0.212,0,0.402
0,0.026,0,0.191,0,0.42
0,0.023,0,0.151,0,0.394
0.06,0.016,0.027,0.11,0.015,0.29
0.234,0.007,0.132,0.161,0.167,0.101
0.412,0.003,0.247,0.203,0.36,0.036
0.535,0.002,0.335,0.272,0.517,0.014
0.614,0.001,0.448,0.332,0.624,0.03
0.644,0,0.574,0.345,0.679,0.053
0.645,0,0.594,0.336,0.681,0.066
0.589,0,0.548,0.319,0.644,0.066
0.481,0,0.457,0.308,0.558,0.066
0.337,0,0.327,0.314,0.429,0.079
0.145,0.002,0.174,0.349,0.257,0.097
0.021,0.007,0.035,0.439,0.074,0.111
0,0.019,0,0.575,0,0.12
0,0.039,0,0.614,0,0.113
0,0.073,0,0.577,0,0.118
0,0.117,0,0.515,0,0.138
0,0.156,0,0.431,0,0.176
0,0.176,0,0.37,0,0.245
0,0.176,0,0.316,0,0.343
0,0.168,0,0.265,0,0.418
0,0.165,0,0.192,0,0.419
0,0.163,0,0.14,0,0.353
0,0.164,0,0.101,0,0.262
0,0.165,0,0.041,0,0.177
0.063,0.114,0.045,0.008,0.015,0.107
0.249,0.102,0.231,0.006,0.167,0.054
0.428,0.143,0.426,0,0.361,0.019
0.561,0.156,0.566,0.003,0.52,0
0.638,0.152,0.66,0.012,0.628,0.001
0.646,0.148,0.711,0.021,0.677,0.001
0.608,0.148,0.707,0.029,0.688,0.003
0.526,0.141,0.65,0.037,0.652,0.005
0.426,0.116,0.531,0.044,0.573,0.007
0.24,0.099,0.399,0.048,0.44,0.007
0.117,0.096,0.218,0.056,0.263,0.009
0.015,0.1,0.04,0.086,0.078,0.011
0,0.135,0,0.143,0,0.021
0,0.177,0,0.177,0,0.049
0,0.261,0,0.172,0,0.164
0,0.336,0,0.163,0,0.41
0,0.333,0,0.16,0,0.62
0,0.282,0,0.176,0,0.727
0,0.237,0,0.204,0,0.758
0,0.165,0,0.237,0,0.748
0,0.1,0,0.227,0,0.686
0,0.059,0,0.198,0,0.562
0,0.054,0,0.17,0,0.413
0,0.071,0,0.154,0,0.269
0.071,0.064,0.048,0.139,0.013,0.145
0.274,0.069,0.236,0.124,0.16,0.074
0.465,0.089,0.438,0.07,0.354,0.034
0.602,0.083,0.569,0.023,0.515,0.001
0.688,0.06,0.656,0.006,0.624,0
0.721,0.041,0.686,0.003,0.681,0.001
0.706,0.026,0.676,0.004,0.692,0.008
0.647,0.012,0.588,0.01,0.656,0.02
0.546,0.005,0.476,0.036,0.57,0.028
0.392,0.003,0.322,0.118,0.441,0.036
0.2,0.003,0.158,0.222,0.267,0.043
0.023,0.009,0.03,0.313,0.073,0.051
0,0.036,0,0.429,0,0.087
0,0.09,0,0.5,0,0.165
0,0.167,0,0.501,0,0.251
0,0.235,0,0.512,0,0.319
0,0.256,0,0.498,0,0.37
0,0.263,0,0.483,0,0.424
0,0.235,0,0.58,0,0.465
0,0.164,0,0.654,0,0.471
0,0.09,0,0.692,0,0.432
0,0.033,0,0.706,0,0.365
0,0.008,0,0.654,0,0.309
0,0.004,0,0.559,0,0.279
0.065,0.006,0.018,0.463,0.015,0.226
0.259,0.033,0.103,0.356,0.177,0.135
0.446,0.104,0.202,0.36,0.376,0.092
0.58,0.139,0.308,0.417,0.535,0.022
0.651,0.138,0.37,0.456,0.642,0.002
0.624,0.131,0.4,0.444,0.697,0.003
0.608,0.124,0.363,0.395,0.706,0.01
0.569,0.118,0.311,0.347,0.67,0.023
0.395,0.124,0.217,0.27,0.579,0.045
0.267,0.128,0.126,0.191,0.441,0.078
0.128,0.124,0.054,0.112,0.262,0.117
0.016,0.126,0.008,0.053,0.081,0.16
0,0.175,0,0.028,0,0.209
0,0.247,0,0.023,0,0.271
0,0.326,0,0.043,0,0.352
0,0.349,0,0.046,0,0.424
0,0.306,0,0.017,0,0.454
0,0.236,0,0.028,0,0.457
0,0.168,0,0.041,0,0.431
0,0.125,0,0.048,0,0.385
0,0.096,0,0.065,0,0.376
0,0.078,0,0.084,0,0.377
0,0.085,0,0.09,0,0.341
0,0.111,0,0.12,0,0.29
0.063,0.105,0.012,0.124,0.014,0.238
0.248,0.206,0.082,0.083,0.175,0.182
0.422,0.366,0.183,0.077,0.37,0.188
0.521,0.398,0.269,0.093,0.521,0.212
0.574,0.357,0.352,0.128,0.616,0.237
0.601,0.291,0.389,0.173,0.657,0.241
0.583,0.238,0.389,0.214,0.659,0.234
0.536,0.206,0.342,0.273,0.616,0.227
0.446,0.184,0.254,0.316,0.527,0.251
0.321,0.171,0.152,0.333,0.401,0.297
0.155,0.157,0.063,0.31,0.233,0.335
0.018,0.134,0.008,0.314,0.066,0.359
0,0.125,0,0.367,0,0.369
0,0.124,0,0.415,0,0.385
0,0.157,0,0.435,0,0.381
0,0.208,0,0.446,0,0.353
0,0.264,0,0.471,0,0.341
0,0.319,0,0.446,0,0.345
0,0.37,0,0.405,0,0.352
0,0.417,0,0.302,0,0.321
0,0.412,0,0.31,0,0.291
0,0.384,0,0.348,0,0.264
0,0.351,0,0.349,0,0.229
0,0.304,0,0.279,0,0.203
0.026,0.216,0.004,0.206,0.013,0.184
0.109,0.301,0.039,0.256,0.161,0.2
0.189,0.505,0.106,0.35,0.349,0.246
0.265,0.596,0.177,0.353,0.504,0.327
0.325,0.616,0.235,0.362,0.614,0.345
0.343,0.608,0.299,0.401,0.672,0.33
0.326,0.573,0.321,0.431,0.684,0.309
0.286,0.495,0.361,0.421,0.65,0.303
0.219,0.399,0.334,0.402,0.562,0.309
0.161,0.308,0.238,0.384,0.427,0.331
0.075,0.226,0.129,0.35,0.237,0.348
0.008,0.149,0.023,0.279,0.061,0.359
0,0.136,0,0.312,0,0.387
0,0.144,0,0.399,0,0.416
0,0.212,0,0.451,0,0.479
0,0.312,0,0.459,0,0.516
0,0.352,0,0.406,0,0.486
0,0.337,0,0.314,0,0.418
0,0.309,0,0.273,0,0.338
0,0.285,0,0.247,0,0.267
0,0.234,0,0.194,0,0.189
0,0.175,0,0.16,0,0.14
0,0.124,0,0.146,0,0.122
0,0.085,0,0.129,0,0.114
0.031,0.048,0.018,0.093,0.014,0.093
0.153,0.085,0.109,0.151,0.173,0.064
0.26,0.154,0.267,0.248,0.363,0.039
0.352,0.223,0.413,0.297,0.504,0.038
0.407,0.291,0.561,0.327,0.583,0.05
0.432,0.335,0.671,0.348,0.621,0.064
0.455,0.378,0.637,0.373,0.626,0.068
0.43,0.442,0.546,0.391,0.585,0.068
0.364,0.431,0.409,0.398,0.452,0.065
0.263,0.384,0.254,0.39,0.324,0.079
0.131,0.35,0.128,0.372,0.184,0.115
0.014,0.337,0.017,0.345,0.049,0.184
0,0.381,0,0.393,0,0.319
0,0.415,0,0.431,0,0.395
0,0.494,0,0.41,0,0.4
0,0.52,0,0.371,0,0.393
0,0.491,0,0.323,0,0.387
0,0.466,0,0.274,0,0.383
0,0.451,0,0.233,0,0.365
0,0.439,0,0.191,0,0.297
0,0.394,0,0.145,0,0.227
0,0.36,0,0.107,0,0.175
0,0.362,0,0.084,0,0.138
0,0.388,0,0.076,0,0.124
0.031,0.391,0.018,0.066,0.012,0.121
0.133,0.468,0.131,0.095,0.169,0.132
0.254,0.628,0.339,0.092,0.372,0.11
0.376,0.717,0.526,0.095,0.529,0.059
0.479,0.707,0.645,0.111,0.631,0.033
0.532,0.645,0.7,0.121,0.692,0.029
0.524,0.571,0.668,0.126,0.7,0.03
0.499,0.536,0.582,0.127,0.662,0.038
0.425,0.496,0.474,0.13,0.573,0.041
0.295,0.47,0.323,0.14,0.437,0.041
0.126,0.458,0.145,0.153,0.264,0.056
0.014,0.388,0.023,0.188,0.076,0.108
0,0.324,0,0.259,0,0.28
0,0.29,0,0.33,0,0.488
0,0.285,0,0.362,0,0.575
0,0.303,0,0.345,0,0.577
0,0.313,0,0.303,0,0.559
0,0.35,0,0.261,0,0.497
0,0.361,0,0.243,0,0.393
0,0.365,0,0.223,0,0.291
0,0.387,0,0.178,0,0.228
0,0.396,0,0.13,0,0.193
0,0.395,0,0.082,0,0.161
0,0.342,0,0.044,0,0.14
0.05,0.32,0.031,0.017,0.01,0.117
0.228,0.401,0.164,0.008,0.159,0.092
0.403,0.468,0.367,0.018,0.357,0.064
0.529,0.38,0.527,0.065,0.511,0.015
0.634,0.285,0.61,0.107,0.613,0.007
0.671,0.219,0.623,0.127,0.653,0.008
0.646,0.179,0.602,0.125,0.664,0.013
0.563,0.157,0.567,0.114,0.622,0.02
0.447,0.136,0.479,0.105,0.56,0.028
0.305,0.106,0.361,0.1,0.434,0.038
0.128,0.078,0.172,0.102,0.253,0.051
0.012,0.082,0.028,0.116,0.059,0.076
0,0.145,0,0.147,0,0.15
0,0.246,0,0.174,0,0.267
0,0.348,0,0.177,0,0.356
0,0.385,0,0.167,0,0.418
0,0.335,0,0.152,0,0.459
0,0.256,0,0.135,0,0.474
0,0.21,0,0.119,0,0.458
0,0.159,0,0.102,0,0.418
0,0.116,0,0.085,0,0.341
0,0.105,0,0.074,0,0.24
0,0.111,0,0.073,0,0.148
0,0.126,0,0.073,0,0.077
0.032,0.119,0.035,0.066,0.01,0.032
0.16,0.167,0.208,0.063,0.154,0.008
0.303,0.191,0.433,0.063,0.352,0.002
0.42,0.15,0.586,0.058,0.515,0.005
0.48,0.122,0.685,0.061,0.624,0.006
0.512,0.102,0.716,0.066,0.689,0.004
0.503,0.081,0.698,0.064,0.696,0.002
0.442,0.064,0.623,0.055,0.649,0
0.402,0.056,0.511,0.054,0.539,0
0.282,0.058,0.358,0.064,0.394,0.001
0.128,0.073,0.169,0.078,0.207,0.003
0.012,0.122,0.025,0.101,0.052,0.003
0,0.242,0,0.124,0,0.012
0,0.348,0,0.14,0,0.054
0,0.418,0,0.136,0,0.167
0,0.445,0,0.128,0,0.31
0,0.427,0,0.114,0,0.375
0,0.401,0,0.083,0,0.37
0,0.365,0,0.052,0,0.327
0,0.345,0,0.038,0,0.267
0,0.302,0,0.045,0,0.222
0,0.23,0,0.061,0,0.204
0,0.187,0,0.084,0,0.192
0,0.166,0,0.111,0,0.176
0.048,0.116,0.036,0.107,0.008,0.135
0.236,0.065,0.209,0.072,0.138,0.097
0.427,0.021,0.415,0.053,0.295,0.057
0.558,0.002,0.563,0.051,0.374,0.022
0.64,0,0.651,0.063,0.38,0.018
0.675,0,0.678,0.074,0.397,0.018
0.65,0,0.651,0.082,0.399,0.019
0.585,0,0.549,0.087,0.367,0.02
0.413,0,0.413,0.097,0.288,0.018
0.239,0.001,0.272,0.115,0.21,0.014
0.106,0.002,0.132,0.144,0.122,0.014
0.009,0.006,0.019,0.22,0.035,0.02
0,0.029,0,0.349,0,0.057
0,0.07,0,0.464,0,0.136
0,0.117,0,0.474,0,0.211
0,0.149,0,0.445,0,0.258
0,0.159,0,0.416,0,0.277
0,0.16,0,0.359,0,0.256
0,0.165,0,0.271,0,0.211
0,0.153,0,0.219,0,0.176
0,0.114,0,0.186,0,0.206
0,0.082,0,0.167,0,0.258
0,0.057,0,0.16,0,0.267
0,0.038,0,0.153,0,0.233
0.041,0.017,0.038,0.118,0.001,0.189
0.206,0.004,0.222,0.112,0.041,0.129
0.388,0,0.447,0.064,0.104,0.09
0.532,0.001,0.597,0.031,0.158,0.046
0.628,0.003,0.693,0.021,0.194,0.021
0.643,0.003,0.733,0.023,0.217,0.01
0.623,0.003,0.728,0.029,0.22,0.005
0.56,0.003,0.671,0.033,0.187,0.002
0.445,0.004,0.577,0.033,0.148,0.002
0.281,0.007,0.421,0.029,0.102,0.003
0.112,0.011,0.224,0.026,0.053,0.006
0.007,0.015,0.038,0.035,0.011,0.043
0,0.018,0,0.096,0,0.162
0,0.024,0,0.21,0,0.28
0,0.026,0,0.29,0,0.327
0,0.025,0,0.303,0,0.359
0,0.018,0,0.257,0,0.384
0,0.02,0,0.21,0,0.389
0,0.026,0,0.186,0,0.37
0,0.023,0,0.162,0,0.349
0,0.017,0,0.147,0,0.322
0,0.014,0,0.141,0,0.291
0,0.014,0,0.147,0,0.255
0,0.019,0,0.167,0,0.222
0.035,0.026,0.038,0.194,0,0.201
0.178,0.016,0.228,0.201,0.036,0.169
0.321,0.021,0.439,0.181,0.102,0.139
0.42,0.058,0.588,0.082,0.16,0.217
0.447,0.062,0.686,0.016,0.204,0.345
0.435,0.041,0.717,0.001,0.24,0.444
0.386,0.025,0.71,0,0.244,0.508
0.318,0.024,0.645,0,0.207,0.531
0.258,0.035,0.519,0,0.153,0.487
0.168,0.056,0.375,0,0.096,0.361
0.074,0.089,0.194,0.001,0.049,0.295
0.005,0.135,0.03,0.002,0.01,0.29
0,0.156,0,0.007,0,0.275
0,0.123,0,0.016,0,0.268
0,0.089,0,0.013,0,0.273
0,0.067,0,0.004,0,0.269
0,0.049,0,0.001,0,0.268
0,0.037,0,0.001,0,0.255
0,0.027,0,0.002,0,0.193
0,0.021,0,0.007,0,0.101
0,0.015,0,0.019,0,0.014
0,0.015,0,0.037,0,0
0,0.023,0,0.055,0,0.018
0,0.041,0,0.067,0,0.165
0.042,0.063,0.028,0.061,0,0.38
0.222,0.038,0.179,0.029,0.04,0.439
0.41,0.069,0.374,0.025,0.114,0.247
0.54,0.102,0.514,0.022,0.193,0.218
0.619,0.102,0.593,0.019,0.259,0.144
0.629,0.102,0.608,0.018,0.298,0.06
0.625,0.099,0.602,0.016,0.304,0.022
0.568,0.093,0.541,0.015,0.286,0.006
0.492,0.098,0.442,0.025,0.262,0.001
0.334,0.119,0.303,0.045,0.212,0
0.144,0.162,0.133,0.057,0.136,0
0.009,0.254,0.018,0.047,0.037,0
0,0.365,0,0.031,0,0.001
0,0.421,0,0.026,0,0.006
0,0.439,0,0.011,0,0.022
0,0.431,0,0.002,0,0.052
0,0.414,0,0.006,0,0.099
0,0.391,0,0.023,0,0.148
0,0.364,0,0.064,0,0.179
0,0.338,0,0.106,0,0.185
0,0.31,0,0.143,0,0.177
0,0.303,0,0.178,0,0.17
0,0.296,0,0.196,0,0.177
0,0.29,0,0.191,0,0.186
0.04,0.22,0.018,0.152,0.006,0.179
0.213,0.108,0.131,0.073,0.135,0.097
0.41,0.361,0.271,0.049,0.312,0.025
0.565,0.348,0.368,0.051,0.451,0.006
0.659,0.294,0.42,0.055,0.52,0.003
0.699,0.249,0.428,0.047,0.54,0.002
0.684,0.217,0.402,0.036,0.5,0.002
0.628,0.204,0.325,0.03,0.429,0.003
0.517,0.199,0.258,0.028,0.341,0.003
0.365,0.193,0.171,0.029,0.245,0.004
0.172,0.192,0.082,0.033,0.123,0.005
0.012,0.24,0.011,0.031,0.022,0.005
0,0.314,0,0.022,0,0.006
0,0.332,0,0.017,0,0.013
0,0.303,0,0.016,0,0.035
0,0.243,0,0.016,0,0.085
0,0.181,0,0.016,0,0.151
0,0.129,0,0.017,0,0.222
0,0.096,0,0.019,0,0.266
0,0.085,0,0.021,0,0.266
0,0.105,0,0.026,0,0.179
0,0.147,0,0.028,0,0.073
0,0.192,0,0.022,0,0.018
0,0.245,0,0.013,0,0.005
0.036,0.255,0.021,0.006,0.002,0.007
0.191,0.111,0.152,0.008,0.078,0.019
0.35,0.153,0.289,0.04,0.194,0.026
0.512,0.202,0.39,0.056,0.241,0.044
0.654,0.163,0.449,0.053,0.296,0.072
0.681,0.127,0.501,0.045,0.353,0.082
0.572,0.099,0.485,0.039,0.334,0.097
0.451,0.11,0.432,0.036,0.284,0.144
0.367,0.137,0.359,0.03,0.234,0.212
0.254,0.153,0.26,0.022,0.18,0.283
0.092,0.164,0.12,0.015,0.105,0.331
0.004,0.216,0.014,0.007,0.028,0.318
0,0.312,0,0.002,0,0.299
0,0.368,0,0.001,0,0.271
0,0.364,0,0.001,0,0.262
0,0.345,0,0.002,0,0.265
0,0.342,0,0.006,0,0.274
0,0.364,0,0.017,0,0.293
0,0.391,0,0.038,0,0.319
0,0.392,0,0.063,0,0.37
0,0.364,0,0.082,0,0.335
0,0.322,0,0.092,0,0.27
0,0.297,0,0.091,0,0.233
0,0.29,0,0.084,0,0.206
0.032,0.248,0.026,0.07,0.006,0.183
0.171,0.097,0.178,0.034,0.156,0.094
0.354,0.157,0.349,0.038,0.372,0.109
0.49,0.22,0.512,0.044,0.545,0.092
0.611,0.256,0.614,0.037,0.661,0.073
0.671,0.293,0.629,0.026,0.73,0.082
0.679,0.316,0.572,0.018,0.732,0.106
0.632,0.331,0.513,0.012,0.706,0.135
0.513,0.343,0.406,0.009,0.618,0.155
0.355,0.352,0.282,0.009,0.485,0.165
0.161,0.362,0.121,0.014,0.297,0.174
0.01,0.417,0.015,0.025,0.085,0.206
0,0.52,0,0.044,0,0.28
0,0.571,0,0.077,0,0.312
0,0.602,0,0.117,0,0.33
0,0.605,0,0.166,0,0.317
0,0.593,0,0.217,0,0.269
0,0.57,0,0.25,0,0.205
0,0.548,0,0.267,0,0.147
0,0.497,0,0.272,0,0.105
0,0.395,0,0.248,0,0.077
0,0.261,0,0.182,0,0.057
0,0.168,0,0.105,0,0.042
0,0.118,0,0.071,0,0.024
0.049,0.104,0.035,0.067,0.007,0.008
0.258,0.051,0.224,0.107,0.181,0.001
0.462,0.038,0.43,0.232,0.404,0
0.603,0.108,0.578,0.266,0.571,0
0.692,0.135,0.669,0.216,0.682,0
0.728,0.147,0.706,0.144,0.742,0.001
0.719,0.138,0.696,0.085,0.752,0.001
0.662,0.124,0.632,0.051,0.714,0.003
0.551,0.119,0.525,0.04,0.63,0.005
0.39,0.118,0.388,0.044,0.493,0.005
0.186,0.116,0.202,0.066,0.304,0.004
0.011,0.121,0.026,0.112,0.088,0.003
0,0.111,0,0.183,0,0.003
0,0.083,0,0.272,0,0.005
0,0.055,0,0.348,0,0.006
0,0.038,0,0.376,0,0.007
0,0.032,0,0.369,0,0.015
0,0.035,0,0.339,0,0.036
0,0.045,0,0.317,0,0.071
0,0.06,0,0.297,0,0.112
0,0.064,0,0.239,0,0.148
0,0.063,0,0.201,0,0.175
0,0.065,0,0.203,0,0.19
0,0.072,0,0.205,0,0.195
0.051,0.077,0.038,0.109,0.007,0.192
0.261,0.033,0.24,0.107,0.182,0.138
0.461,0.009,0.447,0.193,0.404,0.054
0.601,0.003,0.591,0.146,0.569,0.009
0.691,0.001,0.681,0.079,0.676,0.003
0.722,0.001,0.713,0.038,0.734,0.003
0.713,0.001,0.69,0.016,0.746,0.003
0.655,0.001,0.609,0.007,0.71,0.003
0.543,0.002,0.477,0.008,0.626,0.002
0.38,0.003,0.293,0.015,0.49,0.001
0.175,0.005,0.13,0.027,0.302,0
0.009,0.015,0.015,0.044,0.086,0
0,0.055,0,0.058,0,0
0,0.142,0,0.07,0,0
0,0.249,0,0.081,0,0.001
0,0.322,0,0.093,0,0.008
0,0.345,0,0.098,0,0.029
0,0.333,0,0.092,0,0.067
0,0.304,0,0.073,0,0.127
0,0.268,0,0.047,0,0.204
0,0.232,0,0.029,0,0.273
0,0.202,0,0.044,0,0.345
0,0.177,0,0.072,0,0.402
0,0.152,0,0.088,0,0.43
0.044,0.124,0.03,0.09,0.006,0.434
0.246,0.043,0.208,0.078,0.173,0.318
0.448,0.008,0.415,0.163,0.394,0.122
0.591,0.001,0.578,0.184,0.559,0.079
0.682,0.001,0.679,0.138,0.667,0.039
0.7,0.001,0.73,0.082,0.726,0.021
0.69,0.002,0.729,0.04,0.736,0.012
0.632,0.006,0.676,0.017,0.699,0.006
0.516,0.014,0.572,0.008,0.618,0.003
0.353,0.027,0.405,0.006,0.482,0.001
0.154,0.058,0.2,0.01,0.295,0
0.007,0.16,0.023,0.02,0.08,0
0,0.31,0,0.037,0,0.001
0,0.414,0,0.047,0,0.005
0,0.452,0,0.038,0,0.016
0,0.442,0,0.013,0,0.049
0,0.412,0,0.001,0,0.112
0,0.384,0,0.001,0,0.215
0,0.347,0,0.005,0,0.348
0,0.301,0,0.022,0,0.457
0,0.222,0,0.03,0,0.48
0,0.136,0,0.038,0,0.449
0,0.073,0,0.05,0,0.399
0,0.03,0,0.061,0,0.351
0.038,0.011,0.031,0.05,0.005,0.31
0.232,0.001,0.21,0.042,0.163,0.193
0.437,0,0.413,0.079,0.383,0.066
0.583,0,0.569,0.092,0.549,0.033
0.675,0,0.672,0.083,0.659,0.019
0.691,0,0.718,0.041,0.721,0.011
0.684,0.002,0.718,0.006,0.732,0.006
0.626,0.009,0.669,0,0.695,0.003
0.506,0.022,0.553,0,0.606,0.003
0.341,0.035,0.394,0,0.467,0.002
0.146,0.053,0.195,0.003,0.278,0.002
0.007,0.11,0.023,0.014,0.07,0.002
0,0.186,0,0.036,0,0.002
0,0.259,0,0.058,0,0.001
0,0.329,0,0.071,0,0.002
0,0.362,0,0.074,0,0.007
0,0.337,0,0.073,0,0.023
0,0.276,0,0.067,0,0.058
0,0.209,0,0.062,0,0.115
0,0.145,0,0.052,0,0.184
0,0.086,0,0.039,0,0.245
0,0.049,0,0.033,0,0.301
0,0.029,0,0.04,0,0.333
0,0.017,0,0.059,0,0.339
0.04,0.013,0.028,0.066,0.004,0.317
0.237,0.004,0.202,0.073,0.147,0.179
0.44,0.002,0.402,0.092,0.314,0.068
0.585,0.005,0.56,0.072,0.452,0.067
0.676,0.009,0.65,0.043,0.567,0.058
0.678,0.013,0.649,0.019,0.653,0.051
0.671,0.024,0.573,0.005,0.691,0.051
0.614,0.047,0.459,0.001,0.676,0.054
0.491,0.08,0.309,0,0.598,0.044
0.332,0.116,0.189,0,0.463,0.025
0.14,0.162,0.075,0.002,0.276,0.012
0.006,0.259,0.009,0.009,0.066,0.008
0,0.377,0,0.025,0,0.005
0,0.439,0,0.041,0,0.004
0,0.431,0,0.047,0,0.006
0,0.387,0,0.043,0,0.014
0,0.329,0,0.038,0,0.032
0,0.257,0,0.033,0,0.063
0,0.184,0,0.029,0,0.107
0,0.115,0,0.029,0,0.159
0,0.056,0,0.029,0,0.195
0,0.02,0,0.035,0,0.206
0,0.007,0,0.04,0,0.186
0,0.003,0,0.045,0,0.142
0.03,0.003,0.022,0.046,0.003,0.092
0.2,0.001,0.173,0.042,0.137,0.039
0.402,0.002,0.37,0.05,0.352,0.008
0.544,0.052,0.527,0.03,0.522,0.006
0.628,0.101,0.626,0.011,0.638,0.002
0.636,0.125,0.673,0.003,0.696,0
0.617,0.138,0.664,0.001,0.703,0
0.559,0.147,0.593,0.001,0.656,0.001
0.451,0.151,0.486,0.002,0.558,0.001
0.304,0.149,0.348,0.009,0.404,0.003
0.125,0.135,0.16,0.034,0.209,0.005
0.005,0.158,0.016,0.087,0.038,0.009
0,0.217,0,0.169,0,0.013
0,0.285,0,0.256,0,0.012
0,0.343,0,0.286,0,0.008
0,0.37,0,0.26,0,0.007
0,0.354,0,0.216,0,0.011
0,0.326,0,0.176,0,0.022
0,0.292,0,0.146,0,0.041
0,0.241,0,0.133,0,0.062
0,0.148,0,0.15,0,0.079
0,0.068,0,0.175,0,0.104
0,0.021,0,0.203,0,0.112
0,0.002,0,0.21,0,0.092
0.03,0,0.028,0.21,0.001,0.08
0.206,0,0.216,0.278,0.098,0.058
0.37,0,0.431,0.633,0.303,0.023
0.472,0.004,0.596,0.816,0.506,0.022
0.575,0.028,0.7,0.766,0.633,0.025
0.615,0.052,0.752,0.618,0.698,0.041
0.628,0.079,0.752,0.456,0.705,0.065
0.549,0.107,0.704,0.367,0.65,0.084
0.399,0.139,0.602,0.373,0.549,0.097
0.263,0.156,0.453,0.362,0.394,0.097
0.105,0.164,0.254,0.304,0.211,0.091
0.003,0.217,0.034,0.25,0.043,0.083
0,0.27,0,0.234,0,0.063
0,0.289,0,0.215,0,0.04
0,0.285,0,0.198,0,0.026
0,0.279,0,0.193,0,0.019
0,0.276,0,0.226,0,0.014
0,0.279,0,0.275,0,0.011
0,0.286,0,0.32,0,0.009
0,0.276,0,0.318,0,0.012
0,0.211,0,0.308,0,0.029
0,0.125,0,0.303,0,0.06
0,0.063,0,0.301,0,0.087
0,0.03,0,0.303,0,0.1
0.027,0.018,0.038,0.292,0.003,0.104
0.203,0.006,0.247,0.329,0.151,0.082
0.407,0.002,0.455,0.648,0.369,0.026
0.554,0.001,0.606,0.661,0.537,0.029
0.646,0.006,0.704,0.618,0.648,0.017
0.632,0.014,0.754,0.556,0.704,0.008
0.621,0.024,0.752,0.456,0.716,0.005
0.559,0.035,0.704,0.326,0.681,0.005
0.43,0.049,0.605,0.213,0.603,0.005
0.278,0.069,0.453,0.144,0.466,0.006
0.109,0.114,0.251,0.097,0.277,0.005
0.003,0.212,0.031,0.072,0.063,0.005
0,0.345,0,0.066,0,0.004
0,0.465,0,0.074,0,0.004
0,0.523,0,0.078,0,0.002
0,0.517,0,0.079,0,0.001
0,0.469,0,0.079,0,0.003
0,0.399,0,0.078,0,0.009
0,0.308,0,0.078,0,0.027
0,0.204,0,0.083,0,0.053
0,0.118,0,0.093,0,0.074
0,0.068,0,0.109,0,0.082
0,0.041,0,0.126,0,0.072
0,0.028,0,0.135,0,0.054
0.023,0.022,0.036,0.115,0.002,0.038
0.184,0.009,0.246,0.081,0.146,0.021
0.387,0.002,0.455,0.134,0.368,0.003
0.54,0,0.608,0.194,0.533,0
0.634,0.005,0.705,0.234,0.619,0
0.639,0.016,0.752,0.237,0.628,0
0.633,0.027,0.749,0.214,0.52,0
0.576,0.035,0.7,0.186,0.382,0
0.464,0.04,0.594,0.164,0.273,0
0.296,0.044,0.434,0.157,0.188,0
0.092,0.066,0.21,0.161,0.107,0
0.002,0.127,0.021,0.167,0.028,0
0,0.215,0,0.168,0,0
0,0.347,0,0.162,0,0
0,0.438,0,0.155,0,0
0,0.408,0,0.148,0,0
0,0.308,0,0.141,0,0
0,0.205,0,0.152,0,0
0,0.125,0,0.156,0,0
0,0.064,0,0.142,0,0
0,0.032,0,0.117,0,0
0,0.019,0,0.085,0,0.001
0,0.016,0,0.053,0,0.001
0,0.018,0,0.031,0,0
0.021,0.031,0.024,0.02,0.001,0
0.173,0.027,0.204,0.037,0.094,0
0.366,0.02,0.415,0.119,0.269,0
0.517,0.02,0.576,0.205,0.449,0
0.613,0.008,0.678,0.256,0.592,0
0.617,0.002,0.72,0.253,0.683,0
0.606,0,0.717,0.233,0.708,0
0.543,0,0.665,0.212,0.683,0
0.414,0,0.558,0.209,0.607,0
0.256,0,0.396,0.242,0.47,0
0.092,0.01,0.192,0.294,0.275,0
0.002,0.073,0.018,0.347,0.06,0
0,0.167,0,0.434,0,0
0,0.227,0,0.491,0,0
0,0.272,0,0.502,0,0
0,0.335,0,0.472,0,0
0,0.399,0,0.401,0,0
0,0.453,0,0.327,0,0.001
0,0.5,0,0.245,0,0.004
0,0.512,0,0.186,0,0.008
0,0.465,0,0.163,0,0.011
0,0.392,0,0.161,0,0.012
0,0.327,0,0.18,0,0.011
0,0.25,0,0.212,0,0.013
0.018,0.188,0.01,0.225,0.001,0.015
0.161,0.077,0.085,0.338,0.139,0.014
0.349,0.08,0.192,0.487,0.363,0.006
0.49,0.15,0.327,0.497,0.533,0
0.575,0.117,0.429,0.489,0.644,0.001
0.59,0.078,0.438,0.465,0.712,0.003
0.583,0.039,0.438,0.424,0.724,0.007
0.53,0.014,0.4,0.391,0.688,0.01
0.425,0.004,0.322,0.384,0.589,0.007
0.264,0.005,0.207,0.396,0.449,0.002
0.097,0.013,0.086,0.368,0.256,0.001
0.002,0.043,0.007,0.33,0.049,0.006
0,0.081,0,0.375,0,0.06
0,0.103,0,0.405,0,0.222
0,0.095,0,0.39,0,0.439
0,0.067,0,0.369,0,0.608
0,0.04,0,0.362,0,0.705
0,0.027,0,0.333,0,0.743
0,0.026,0,0.279,0,0.747
0,0.031,0,0.275,0,0.739
0,0.029,0,0.338,0,0.717
